id,text,label,dialect
train_0,.... ঐ ইন্দুর তোই মরছ নাই?,1,standard
train_1,#গেবনের শেষে আইসা আপনার মুখোশ টা খুলছে এতেই আমি মহাখুশী ✌✌আপনি তো হ র হ র করে বমি করবেন নাকি আমাদের দেখলে� আমরা না হয় মূত্রত্যাগেই আপনাকে দিব #গু দক্ষিনা,1,standard
train_2,✈✈✈✈��� মুরগি চোরের পাছায় ডুকবি আর মারবি।।।,1,standard
train_3,১৮ কোটির চোদা খাওয়া শেষে এখন ১৫০কোটির চোদা খাবে মিথিলা,1,standard
train_4,২য় মীর জাফরের মুখে মুতে দে...,1,standard
train_5,অই কখানকি সত্যি বলতে কি জানছ তরে জুদি পাইতাম তর বোদার মধ্যে খারাইয়া মুত্তাম,1,standard
train_6,অই জারছি পরা লোক টা কে পাইলে কোত্তার মতো পিটাইতাম,1,standard
train_7,অকে পিথিবির আলো দেখানোর আগেই মেরে ফেলা দরকার ছিল,1,standard
train_8,অকে মেরে ফেলতে হবে,1,standard
train_9,অগরে চুদে মেয়ে গূলোকে,1,standard
train_10,অগুনে পুড়িয়ে মারা হওক যাতে আর কেউ এমনটা করার সাহস না পায়,1,standard
train_11,অদের কে জুতা দিয়ে পিঢাও না কেনো����,1,standard
train_12,অনেক দিন ধরেই অপেক্ষা করতেছিলাম এই ভন্ডটারে ধইরা কেউ লেংটা করুক আলহামদুলিল্লাহ ধন্যবাদ ভাই���,1,standard
train_13,অ‌নেক ভাই ক‌রে‌ছেন যে লোপাকে চুদ‌তে চাই তা‌দের কে বলব ও‌কে চ‌ু‌দে হোল নষ্ট করা যা‌বে না ভাই,1,standard
train_14,অপু আদরের ছেলেকে বাবার মত ইসলাম ধর্ম গ্রহণ করতে বারন করোনা তা নাহলে চির জাহান্নামি তোমার আদরের ছেলে,1,standard
train_15,অপু উকিল এর পুটকির মধ্যে কেরোসিন ঢেলে দেওয়া উচিত,1,standard
train_16,অপু উকিল কে আমি পুটকি মারতে ছাই,1,standard
train_17,অপু উকিল তুই তো ভোট চোর তোর মুখে লাথি মারী ।,1,standard
train_18,অপু উকিল তোর বোদার বিতর কন্সিওয়ালা বাঁশ ডুকানো হবে,1,standard
train_19,অপু উকিলের শাউয়াদিয়া মানকছুদেওয়া হোক,1,standard
train_20,অপু একটি মিথ্যাচার করছে ওকে জুতা পেটা করা উচিত,1,standard
train_21,অপু কলকাতা গিয়ে চুদা খা,1,standard
train_22,অপু কে জুতা মার,1,standard
train_23,অপু কে পেলে জুতা পেটা করা উচিত,1,standard
train_24,অপু খারাব জুতা মারি,1,standard
train_25,অপু চুদা খাভে,1,standard
train_26,অপু তোকে আমি চুদি,1,standard
train_27,অপু তোর মুকে মুতি,1,standard
train_28,অপু মরলে আরো খুশি আমরা,1,standard
train_29,অপুকে মদ খায়ানু হক,1,standard
train_30,অপুর অপরাত সে তার পায়ের জুতো খুলে কেন শাকিবকে পিটালো না এটাই ছিলো অপুর অপরাত,1,standard
train_31,অপুরে জুতা মারা লাকবে এখন অপু বক্ত কেউ থাকবেনা,1,standard
train_32,অমিত শাহ্ র দুই গালে জোতা মারো তালে তালে,1,standard
train_33,অমিত সাহ কে বাঁশ দেও,1,standard
train_34,অর ছেলে একদিন অকেই মারবে,1,standard
train_35,অর দুই হাত কেটে ফেলা হোক,1,standard
train_36,অর নুনুটা কেটে ফেল,1,standard
train_37,অর বাঁচার অধিকার নাই,1,standard
train_38,অর বুদার মধ্যে কারেন্ট দিলে সব এমনিই বলে দিবে,1,standard
train_39,অর মত ছেলে জন্ম নেয়ার আগে মুখে লবন দিয়া কেউ মারে নাই কেন,1,standard
train_40,অর যাওয়ার দরকার নাই সবাই মিলে চুদে পুশে দেবো,1,standard
train_41,অর সোনা কেটে নেয়া হউক,1,standard
train_42,অর হাত কাটা উচিত,1,standard
train_43,অর হাত দুটি কেটে ফেলা হোক,1,standard
train_44,অরে জুতার মালা পরান উচিতসালা বেদ্দপ,1,standard
train_45,অরে টা জোতোর বাড়ি দেয়াহোক ভিড়িও দারন কারীকে ধন্যবাদ দেয়া হোক,1,standard
train_46,অরে ডায়রেক ক্রসফায়ার দেওক দিয়া,1,standard
train_47,অরে পাইলে আমি শেষ করে ফেলতাম যা হবার হইতো,1,standard
train_48,অরে মদ খাওয়া তারাতারি,1,standard
train_49,অরে মাইরালা,1,standard
train_50,অরে মেরে ফেলা উচিত,1,standard
train_51,অরে রড দিয়া মাইরা হাত ভেঙে দেয়া উচিত,1,standard
train_52,অরে সামনে পাইলে ত খুন করুম,1,standard
train_53,অরে হাতের সামনে পাইলে নিজ হাতে জবাই করতাম এমন কুলাঙ্গার সন্তানের বেচে থাকার কোন অধিকার নেই অর যথাযথ শাস্তির ব্যাবস্থা করা হোক প্রশাশনের কাছে আমার একটা দাবি জারা একমত তারা সারা দিন,1,standard
train_54,অরে হোগা দিয়ে গরম ডিম দেয়ার দরকার,1,standard
train_55,অসভ্য মদি সরকারকে কঠিন ভাবে সাইজ করা দরকার,1,standard
train_56,অামি অাইনের লোক হইলে ওরে গুলি করে মেরে ফেলতাম,1,standard
train_57,অামি যদি একবার পাইতাম ওরে জুতার বাড়ি দিতে দিতে মাইরা লাইতাম।,1,standard
train_58,অাল্লাহ এই ধরনের ছেলেদের তুমি তোমার কুদরতি হাত দ্বারা ধ্বংস করে দাও,1,standard
train_59,আই তোকে চুদি তোর গূদের,1,standard
train_60,আই তোরে চুদি,1,standard
train_61,আই সি সি মুখে জুতা মার,1,standard
train_62,আওয়ামিলীগ সন্তারাসেরাই দেশটি শেসে করেছ হাসিনাকে মারতে হবে তারপর দেশ টিক হবে,1,standard
train_63,আগারওয়ালের মারে চুদের।সাকিব তো এমন জায়গায় নামেনা যেখানে খেলা পরিবর্তন করা সম্ভব।সব বিসিবি এর কারসাজি।,1,standard
train_64,আগুন জ্বালিয়ে দিব,1,standard
train_65,আগুন দিয়ে পুড়িয়ে মারা হোক,1,standard
train_66,আগে এই পাষন্ড টাকে গুছিয়ে প্যাঁদানি দিয়ে কতধানে কতচাল বুঝানো দরকার,1,standard
train_67,আগে একবার বিয়ে হওয়া প্রেম করা এগুলো কি খুনের চেয়েও বড় অপরাধ !? যদি তাই না হয় তাহলে যারা প্রকাশ্যে কুপিয়ে হত্যা করল তাদেরকে ছেড়ে যারা রিফাতের স্ত্রির চারিত্রিক সনদ নিয়ে গবেষনায় লিপ্ত আছেন তারা কি পানি গোলা করে খুনীদেরকে বাঁচানোর পথ তৈরি করে দিচ্ছেন না তো ?? ভেবে দেখবেন !? ⬇ যারা কুপিয়ে হত্যা করল আগে তাদেরকে জনসম্মুখে শিরচ্ছেদ করা হোক তারপর অন্য কেউ জড়িত থাকলে তার বিচার করা হোক,1,standard
train_68,আগে ওকে পেটান দরকারছিল,1,standard
train_69,আগে ওরে মারেন পরে বিচার করা যাবে,1,standard
train_70,আগে জুতা মার,1,standard
train_71,আগে ধোলাই দিতেন,1,standard
